content,intensity,clean_content,length
"Sometimes I’m not angry, I’m hurt and there’s a big difference.",angriness,sometimes angry hurt big difference,5
Not available for busy people☺,angriness,available busy people,3
I do not exist to impress the world. I exist to live my life in a way that will make me happy.,angriness,exist impress world exist live life way make happy,9
"Everything is getting expensive except some people, they are getting cheaper.",angriness,everything getting expensive except people getting cheaper,7
My phone screen is brighter than my future 🙁,angriness,phone screen brighter future,4
Anger is a feeling that makes your mouth work than faster your mind..,angriness,anger feeling makes mouth work faster mind,7
"This man, is man, a man, good man, way man, to man, keep man, an man, idiot man, busy man, for man, 30 man, seconds man! NOW READ WITHOUT MAN",angriness,man man man good man way man man keep man man idiot man busy man man 30 man seconds man read without man,23
Sometimes the best way to get someone\’s attention is to stop giving them yours.,angriness,sometimes best way get someone attention stop giving,8
"People like to bring up your past, when your present and future look better than theirs.",angriness,people like bring past present future look better,8
Wakeup>job>noluv>daaru>sleep>repeat..,angriness,wakeup job noluv daaru sleep repeat,6
To all u Haters!!! Thanks for making me famous. I don’t give a Sh***t if u talk behind my back.,angriness,u haters thanks making famous give sh u talk behind back,11
Its hurts the worst when the person that made you feel so special yesterday makes you feel so unwanted today.,angriness,hurts worst person made feel special yesterday makes feel unwanted today,11
Life is too short don’t waste it by reading my whatsapp status,angriness,life short waste reading whatsapp status,6
"If I treated you the way you treat me, you would hate my guts.",angriness,treated way treat would hate guts,6
Girls r like potato chips…you can’t have 1,angriness,girls r like potato chips 1,6
Had you asked for my life i would have sacrificed it with a smile… but you’ve stripped me of my pride,angriness,asked life would sacrificed smile stripped pride,7
People always miss you more when they find out how much happier you are without them.,angriness,people always miss find much happier without,7
"People change for one of two reasons: They have learned a lot, or they have been hurt too many times.",angriness,people change one two reasons learned lot hurt many times,10
If you fail and feels the shame then you are only few steps away from success ☺,angriness,fail feels shame steps away success,6
You get betrayed by people you never thought of…,angriness,get betrayed people never thought,5
Does your ass ever get jealous of all the shit that comes out of ur mouth?,angriness,ass ever get jealous shit comes ur mouth,8
"When you give lots of importance to someone, you loss your own importance in their life….",angriness,give lots importance someone loss importance life,7
There are no solutions when you only focus on the negative,angriness,solutions focus negative,3
Out of every negative is a positive.. its up to you to find out what it is and utilize it..,angriness,every negative positive find utilize,5
If you always focus on the negative you will never see the positive!!!,angriness,always focus negative never see positive,6
Negativity is a cancer of the soul that spreads like the flu..,angriness,negativity cancer soul spreads like flu,6
"If you realized how powerful your thoughts are, you would never think a negative thought.",angriness,realized powerful thoughts would never think negative thought,8
"When life give u lemons, squeeze it in people’s eyes ….",angriness,life give u lemons squeeze people eyes,7
"I’m take a nice long shit, so don’t stress me !",angriness,take nice long shit stress,5
"Don’t disturb me, I am disturbed enough already.",angriness,disturb disturbed enough already,4
Please don’t interrupt me while I’m ignoring you,angriness,please interrupt ignoring,3
Stop letting the world change you. Be yourself and change the world.,angriness,stop letting world change change world,6
"Just when I think things are looking up, here comes the Fuck up Fairy again. Why can’t things go right for a change?",angriness,think things looking comes fuck fairy things go right change,10
"Looking at the past, yeah…Alot of it hurt but you know it only made me stronger.",angriness,looking past yeah alot hurt know made stronger,8
You talk behind my back only because you are afraid to say things to my face.,angriness,talk behind back afraid say things face,7
why does no one ever want to talk in an elevator?,angriness,one ever want talk elevator,5
What you heard is not what I said. Listen better next time.,angriness,heard said listen better next time,6
"Think again before you assume, And next time don’t be so quick to judge. You’ll never know what it’s like to be in my shoes.",angriness,think assume next time quick judge never know like shoes,10
is wishing that SOME people would understand that: IT’S NOT ALL ABOUT YOU!!,angriness,wishing people would understand,4
"Go ahead and ignore me,..I can play that game too, and I’m probably better at it than you are…",angriness,go ahead ignore play game probably better,7
"No time for disrespectful, immature, selfish individuals!",angriness,time disrespectful immature selfish individuals,5
Ever notice its those people saying they hate drama that start it? It doesn’t make sense to me.,angriness,ever notice people saying hate drama start make sense,9
is wondering if certain people have to work to be annoying or if it just comes naturally,angriness,wondering certain people work annoying comes naturally,7
The people that work hard don’t get the credit.The people that just do nothing get everything.,angriness,people work hard get credit people nothing get everything,9
There are a few people out there who are just like trees; they take forever to grow up.,angriness,people like trees take forever grow,6
ugh. your so fake i bet if you look at the bottom of your foot it say made in china,angriness,ugh fake bet look bottom foot say made china,9
"Life is to short to let other people get to you, If they can’t handle who I am then I don’t need them in my life!",angriness,life short let people get handle need life,8
"I don't care about what others think about me, I just care about what I think about myself.",angriness,care others think care think,5
People are selfish now a days.,angriness,people selfish days,3
"Don’t tell me to change, I can’t perfect myself anymore.",angriness,tell change perfect anymore,4
You killed what was left of the good in me.,angriness,killed left good,3
I never dreamed about success. I worked for it.,angriness,never dreamed success worked,4
"If you don't like me remember it's mind over matter, I don't mind and you don't matter.",angriness,like remember mind matter mind matter,6
Be yourself because an original is worth more than a copy.,angriness,original worth copy,3
Yes i am selfish i don’t want to share you with people.,angriness,yes selfish want share people,5
I'm only selfish when it comes to you.,angriness,selfish comes,2
"I done what i like, i don't care what you think?",angriness,done like care think,4
"I am who I am, your approval isn't needed.",angriness,approval needed,2
"I'd rather be hated for being real, than loved for being fake.",angriness,rather hated real loved fake,5
"Be good to yourself, you’re all you’ve got.",angriness,good got,2
"I am simple, complex, generous, selfish, unattractive, beautiful, lazy, and driven.",angriness,simple complex generous selfish unattractive beautiful lazy driven,8
"Beauty captures your attention, but personality captures your heart.",angriness,beauty captures attention personality captures heart,6
"You left without a reason, so please don't come back with an excuse.",angriness,left without reason please come back excuse,7
"I’m born to express, not to impress.",angriness,born express impress,3
If your ego speaks with me then my attitude replies to you.,angriness,ego speaks attitude replies,4
"Before you judge me, Make sure that you’re perfect.",angriness,judge make sure perfect,4
"I don’t treat people badly, I treat them accordingly.",angriness,treat people badly treat accordingly,5
"My life ,my rule,that’s my attitude… ",angriness,life rule attitude,3
"If you dont want me , Dont fuck with my feelings.",angriness,dont want dont fuck feelings,5
Never Love Someone At The Cost Of Your Dignity And Self Respect...!!!,angriness,never love someone cost dignity self respect,7
Beauty is only skin deep.Attitude is down to the bone.,angriness,beauty skin deep attitude bone,5
"You treated me like an option, so i left you like a choice",angriness,treated like option left like choice,6
"There are two ways to be happy: Change your situation, or change your mindset towards it.",angriness,two ways happy change situation change mindset towards,8
"Your attitude may hurt me, But mine can Kill You!!",angriness,attitude may hurt mine kill,5
I'm a very private person. You don’t ask i don’t tell.,angriness,private person ask tell,4
I am not your toy.,angriness,toy,1
Sometimes I want to treat people how they treat me But I don’t because It’s out of my character.,angriness,sometimes want treat people treat character,6
"If you ever think I am ignoring you, I swear I am. My phone is in my hand 24×7 ",angriness,ever think ignoring swear phone hand 24 7,8
"Take care of Your Status, don’t be care taker of My Status",angriness,take care status care taker status,6
If there is no one to hold your hand put your hands in your pocket and continue your walk.,angriness,one hold hand put hands pocket continue walk,8
"Don’t be afraid of being outnumbered , eagles fly alone. Pigeons flock together.",angriness,afraid outnumbered eagles fly alone pigeons flock together,8
I am who i am and i won't change for anyone.,angriness,change anyone,2
"I don’t care for people, who don’t care for me.",angriness,care people care,3
Nobody can teach me who I am.,angriness,nobody teach,2
"Yes, I’m smiling. But you’re not the reason anymore.",angriness,yes smiling reason anymore,4
"Choose me or lose me. I am not a backup plan, and definitely not a second choice.",angriness,choose lose backup plan definitely second choice,7
I don’t go crazy. I am crazy. I just go normal from time to time….,angriness,go crazy crazy go normal time time,7
