content,intensity
"Sometimes I’m not angry, I’m hurt and there’s a big difference.",angriness
Not available for busy people☺,angriness
I do not exist to impress the world. I exist to live my life in a way that will make me happy.,angriness
"Everything is getting expensive except some people, they are getting cheaper.",angriness
My phone screen is brighter than my future 🙁,angriness
Anger is a feeling that makes your mouth work than faster your mind..,angriness
"This man, is man, a man, good man, way man, to man, keep man, an man, idiot man, busy man, for man, 30 man, seconds man! NOW READ WITHOUT MAN",angriness
Sometimes the best way to get someone\’s attention is to stop giving them yours.,angriness
"People like to bring up your past, when your present and future look better than theirs.",angriness
Wakeup>job>noluv>daaru>sleep>repeat..,angriness
To all u Haters!!! Thanks for making me famous. I don’t give a Sh***t if u talk behind my back.,angriness
Its hurts the worst when the person that made you feel so special yesterday makes you feel so unwanted today.,angriness
Life is too short don’t waste it by reading my whatsapp status,angriness
"If I treated you the way you treat me, you would hate my guts.",angriness
Girls r like potato chips…you can’t have 1,angriness
Had you asked for my life i would have sacrificed it with a smile… but you’ve stripped me of my pride,angriness
People always miss you more when they find out how much happier you are without them.,angriness
"People change for one of two reasons: They have learned a lot, or they have been hurt too many times.",angriness
If you fail and feels the shame then you are only few steps away from success ☺,angriness
You get betrayed by people you never thought of…,angriness
Does your ass ever get jealous of all the shit that comes out of ur mouth?,angriness
"When you give lots of importance to someone, you loss your own importance in their life….",angriness
There are no solutions when you only focus on the negative,angriness
Out of every negative is a positive.. its up to you to find out what it is and utilize it..,angriness
If you always focus on the negative you will never see the positive!!!,angriness
Negativity is a cancer of the soul that spreads like the flu..,angriness
"If you realized how powerful your thoughts are, you would never think a negative thought.",angriness
"When life give u lemons, squeeze it in people’s eyes ….",angriness
"I’m take a nice long shit, so don’t stress me !",angriness
"Don’t disturb me, I am disturbed enough already.",angriness
Please don’t interrupt me while I’m ignoring you,angriness
Stop letting the world change you. Be yourself and change the world.,angriness
"Just when I think things are looking up, here comes the Fuck up Fairy again. Why can’t things go right for a change?",angriness
"Looking at the past, yeah…Alot of it hurt but you know it only made me stronger.",angriness
You talk behind my back only because you are afraid to say things to my face.,angriness
why does no one ever want to talk in an elevator?,angriness
What you heard is not what I said. Listen better next time.,angriness
