content,intensity
Wants to know how the hell I can remember words to songs from years ago but can’t remember what I went into the next room for!?!,happiness
Love is a long sweet dream & marriage is an alarm clock..,happiness
The world could be amazing when you are slightly strange.,happiness
My secret talent is getting tired without doing anything. 😀,happiness
"Khatarnaak Whatsapp Status Ever… Can\’t talk, wife around",happiness
The new way of forgetting your past is deleting your chats 😛,happiness
"204 countries, 805 Islands, 7 seas, 7+ Billion people and I’m still single..",happiness
Available…. Prabhu ichhaa tak……!!!!!,happiness
"Life is too short to be serious all the time. So if you can’t laugh at yourself, call me I will laugh at you 😀",happiness
A really cool feature of the Nano they don’t tell you about is that even beggars ignore you at a traffic signal. Relaxing facility.,happiness
"You love flowers, but you cut them. You love animals, but you eat them. You tell me you love me, so now I’m scared!",happiness
"All person b very careful when u step out today n tomorrow. . They r looking out for bakra’s, Can’t afford to lose any of  u  😀",happiness
"Men have feelings too. For example, we feel hungry.",happiness
3 horrible things in life: 1) Slow Internet. 2) Slow Internet. 3) Slow Internet.,happiness
My teacher today gave 45 minute speech about not wasting time.,happiness
"Women loves shoes bcz no matter how much & whatever they eat, the shoe always fits :p",happiness
Never laugh at your wife’s choices. ..you are one of them …,happiness
"Thank God there is No Hindi version of WhatsApp otherwise ""Last Seen"" would be ""Antim Darshan"" .",happiness
Hey there! I’m using my brain.,happiness
I put my heart n soul into my work and lost my brain in d process,happiness
"Faces u make on d toilet:
(o_o) , (>_<) , (0_0) , (^_^)",happiness
"Getting married is a lot like getting into a tub of hot water. After you get used to it, it ain’t so hot.",happiness
"Sorry about those texts I sent you last night, my phone was drunk.",happiness
"When a bird hits your windshield, have you ever wondered if God is playing angry birds with you?",happiness
Taking your ex back is like going to the junk yard and buying back your own crap.,happiness
I don’t know why I keep a plastic bag at home full of plastic bags.,happiness
I work out everyday I do 1 sit-up every morning when I wake up.,happiness
One wise guy invented Whatsapp… and his wife added last seen feature 🙂 ,happiness
I wish I had Google in my mind and antivirus in my heart.,happiness
(-_-) x 1.3 Billion people = China,happiness
You’re beautiful until your Photoshop 30 day trial has gone.,happiness
"When you wait for a waiter in a restaurant, aren’t you a waiter?",happiness
I love my six packs so much; I protect it with a layer of fat.,happiness
WARNING!! I know karate …..and some other words!!!,happiness
I Wish My Parents Were Like Google. They Should Understand Me Even Before I Complete.,happiness
Watching PK… After PK..!!,happiness
A man says a lot of things in summer he doesn’t mean in winter.,happiness
I Wonder What Happen’s When Doctor’s Wife Eats An Apple A Day 😉,happiness
"Study economics-when you’re unemployed, at least you’ll know why.",happiness
"Hey there, I’m using 123whatsappstatus.com!",happiness
Women- God’s version of Rubik cube.,happiness
"Tum mujhe ‘Hmmm’ do, main tumhe ‘K’ dunga",happiness
"SI unit of ignorance = ""online""",happiness
"Hey there, I’m using my parents.",happiness
"Don’t use bathroom in your dream, It’s a set-up.",happiness
"There are 3 types of people in the world- vegetarian, non-vegetarian & Tuesday Saturday.",happiness
"My laziness is like 8, when I lie down it becomes infinity 😀",happiness
"Accept that some days you are the pigeon, and some days you are the statue.",happiness
"WhatsApp free hai, main nahi. ",happiness
Nobody is perfect. Even dettol kills only 99.9% of germs!,happiness
"I’m on a sea-food diet, I see food, I eat it!",happiness
Exams in the university are closer than they appear.,happiness
Decided to burn lots of calories today so I set a fat kid on fire:-D,happiness
I remember when my old Nokia phone said I had low battery it meant that I had 2 days to find a charger. :’),happiness
What if girls can read minds… Every second a boy gets slapped…,happiness
"I have come to the conclusion that Google must be female, as she has the answer to everything!",happiness
"Girls are like police. Even when they get a hold of all the evidence, they still want to hear the truth from you.",happiness
"Mirrors don’t lie. Lucky for you, they don’t laugh either.",happiness
"If you love someone set them free. If they come back, set them on fire.. 😉",happiness
When someone hates you for no reason. Give them a reason 😛,happiness
Non-urgent calls only!! :p,happiness
Sometimes I think to write LOL at the end of every answer in exams,happiness
"I don’t care what people say or think about me, at least am attractive to mosquitoes 😛",happiness
"I’m not sad for being single. Rather I’m thinking about her, who is single because of me.",happiness
"Not always available, try your luck 😉",happiness
I think Uruguay’s Luis Suarez is the man to bit the Apple’s logo,happiness
The average millionaire goes bankrupt at least 3.5 times. I have gone 2 times. Pretty Close,happiness
55% of people will yawn after reading the word “yawn.”,happiness
Typing…,happiness
Oh! Game over and you lost me 🙂,happiness
You can do anything but not everything ..,happiness
Three Mistakes Of My Life : WTF (Whatsapp Twitter Facebook),happiness
Hey there WHATSAPP is using me !!,happiness
"Waiting for ""Ache Din""",happiness
"Dear math, I’m tired finding your ""X"" DUDE she is gone, Please Move on Bro. !",happiness
NAMO (MODI) victory has proved that a man can succeed only when his mother is near and his wife is away…,happiness
The word EXAMS make me sick without PAIN.,happiness
"My koochi my poochi please get my Gucci, Even if you have to sell all your blood.",happiness
"In today’s world u don’t have to b smart, only your smartphone should be smart.",happiness
Mera status dekhkar aapko kya mila? BABAJI KA THULLU ?,happiness
We have a history together ……and English and French also….. 🙂,happiness
I am in a relationship with studies and it’s complicated.?,happiness
"Some people just need a High-Five, on the face.",happiness
"I prefer work smarter, Instead of harder",happiness
My Condolences for confused in love and for broken Heart,happiness
"Act crazy, don’t regret, do things you would never ever do because life is short so live it up! 🙂",happiness
I hate that people who fart silently in public,happiness
"My phone is on airplane mode, WTF it’s not flying!",happiness
"After marriage, the other man’s wife looks more beautiful.",happiness
Team work is important; it helps to put the blame on someone else.,happiness
Life is beautiful… from Friday to Monday.,happiness
"I will marry the girl, who look pretty in her Adhaar card ",happiness
"I never forget a face, but in your case I’ll be glad to make an exception.",happiness
Being underestimated always serves as an advantage!! ,happiness
"Confession is good for the soul, but bad for your career.",happiness
"Isn’t it scary that doctors call what they do ""practice""?",happiness
Two peanuts were walking into a tough neighborhood and one of them was a-salted.,happiness
"Never make the same mistake twice, There are so many new ones.",happiness
Someday short people are gonna unite and take over the world.,happiness
"I have flabby thighs, but fortunately my stomach covers them.",happiness
Installing love. ……44%. Installation failed. Error 404: install money first.,happiness
Kids born in 2000 never have to worry about forgetting how old they are.,happiness
"Vegetarians, if you want animals to live, why do you eat their food.",happiness
Bungee jumping is suicide with strings attached!,happiness
"If the stuff that comes out of my mouth upsets you, just think of all the things I keep to myself.",happiness
if your dog barks nd ememies laugh take it serious,happiness
Bye bye Everybody bye bye USA,happiness
"People say you cant live without love, but I think oxygen is more important.",happiness
I love being married. It’s so great to find that one special person you want to annoy for the rest of your life.,happiness
"I’m take a nice long shit, so don’t stress me !",happiness
Happiness is homemade.....,happiness
Smile and the world smiles with you.,happiness
DON'T FoRGet To Smile.,happiness
A smile is a curve that sets everything straight.,happiness
"When life gives you a hundred reasons to cry, show life that you have a thousand reasons to smile.",happiness
"Smile and let everyone know that today, you’re a lot stronger than you were yesterday.",happiness
The purpose of life is to enjoy every moment.,happiness
Learn to make yourself happy.,happiness
SMile! every minute of the day.You never know who is falling in love with it.,happiness
Aspire to Inspire before you expire,happiness
A fake smile can hide millions of tears...,happiness
LIFE IS BEAUTIFUL *Conditions Apply* ,happiness
COUNT blessings NOT problems.,happiness
Every time You smile I smile.,happiness
YOU know what's beautiful? Read the first word again.,happiness
Happiness is a perfume you cannot pour on others without getting a few drops of yourself.,happiness
Be happy for this moment is your life.,happiness
Let your smile change the world But don't let the world change your smile.,happiness
"The best feeling in the world is when the person you like, likes you back.",happiness
Smile is the best medicine in the word . . . . . so please keep smile,happiness
One of the keys to happiness is a bad memory.,happiness
"Expand your happiness by sharing it with. The larger a rainbow, the more brightly it shines.",happiness
"Smiling is infectious, you can catch it like the flu. Someone smiled at me today And I started smiling too.",happiness
"The more anger towards the past you carry in your heart, the less capable you are of loving in the present.",happiness
Happiness is not something you postpone for the future; it is something you design for the present.,happiness
"Brain and Beauty doesn't make you best in the world, but how beatiful your THOUGHTS to beautify this world.",happiness
Always believe that something wonderful is about to happen.,happiness
"Next time when you think about a wonderful & beautiful thing in life, don't forget to include YOURSELF in it.",happiness
"HAPPINESS is not determined by what is happening around you, but rather what is happening inside you. Most people depend on others to gain HAPPINESS,but the truth is, it always comes from within...",happiness
When you finally let go of the past something better comes along.,happiness
Noboday can take away your PAIN... so don't let anyone take aways your HAPPINESS.,happiness
"Simply seek happiness, and you are not likely to find it. Seek to create and love without regard to your happiness, and you will likely to happy much of the time.",happiness
"Dear whoever is reading this... You're beautiful and someone out there is crazy about you. SO, SMILE! Life is too short to be happy.",happiness
The best way to cheer yourself up is to try to cheer somebody else up.,happiness
LIVE for the moments you can't put into words.,happiness
"As soon as you TRUST yourself, you will know how to live.",happiness
"Enjoy the little things in life, for you'll one day look back and realize they were the big things.",happiness
No one is the reason of your happiness expect you yourself.,happiness
The most important things in life aren't things.,happiness
"Why waste you time getting hurt by someone, when there's someone else out there waiting to make you happy?",happiness
When life gives you a hundred reasons to cry show life you have a thousand reasons to smile,happiness
"Do not let your past rob your future. Each new day is a chance to make a new beginning. Count your blessings, live with gratitude and love with all your heart",happiness
I can always make you smiling.,happiness
I’m wearing the smile you gave me.,happiness
Happiness means you. I Love You.,happiness
Be the reason someone smiles today.,happiness
"Smile and forgive, it's the only way to live.",happiness
"Next time when you think about a wonderful & beautiful thing in life, don't forget to include YOURSELF in it.",happiness
"The lower you set your expectations of people, the less it hurts when they disappoint you.",happiness
To be beautiful means to be yourself. You don't need to be accepted by others. You need to accept yourself.,happiness
"Strong people know how to keep their life in order. Even with tears in their eyes, they still manage to say ""I'm ok"" with a smile.",happiness
Think big thoughts but relish small pleasures.,happiness
Happiness is not ready made it comes by our own actions. ,happiness
The secret of happiness is doing what you love. The secret of success is loving what you do.,happiness
"If you cannot be a pencil to write anyone's happiness, then yous hould at least try to be a nice rubber to erase someone's sadness...",happiness
"You know life is worth the struggle when you look back on what you lost, and realize what you have now is much better than before.",happiness
My Real Smile Comes when i am with you.,happiness
You’re the reason behind my smile.,happiness
A lot of people end up unhappy because they make permanent decisions on temporary emotions.,happiness
So many of my smiles begin with you.,happiness
Happiness is when “Last seen at” changes to “online” and then to “typing..”,happiness
The happiness of your life depends on the quality of your thoughts.,happiness
We're so busy watching out for what's just ahead of us that we don't take time to enjoy where we are.,happiness
"Be thankful and count your blessings for what you have, rather than what you want.",happiness
"In order to live well, you must makes a conscious decisions to be happy! Don't let the liitle things in life ruin your day.",happiness
SMILE It will make you look better.PRay It will keep you strong LOVE It will make you enjoy life.,happiness
I am always satisfied with the best. ,happiness
Train your mind to see good in everything.,happiness
Smile! It is the second best thing you can do with your lips.,happiness
Happiness isn't a destination. It's the journey you choose to take.,happiness
Spread more love than hate.,happiness
"You can't buy happiness, but you can buy ice cream. and that's kind of the same thing.",happiness
"Sometimes your existence give hope to one person or your smile make someone else smile,so value yourself.",happiness
"I slept and dreamt that Life was joy. I woke & saw that life was service. I acted and behold, service was joy.",happiness
A good laugh and a long sleep are the best cures for anything.,happiness
Every day we are given is a gift and we should treat it that way.,happiness
The happiness of your life depends upon the quality of your thouhts.But the quality of your thoughts depends on the persons whom you meet in your life...,happiness
"Never miss an opportunity to make others happy, even if you have to leave them alone in order to do it.",happiness
Cry. Forgive. Learn. Move on. Let your tears water the seeds of your future happiness.,happiness
I have Many problems in my life...But My lips don't know that' They Always Smile..,happiness
Deal with your problems before they deal with your happiness.,happiness
"Choose your thoughts carefully. Keep what brings you peace, release what brings you suffering. And know that happiness is just a thoughy away!",happiness
Theres no fun in a perfect life. So make a risk . Take a chance. Go where the mind takes you.Have fun.,happiness
Laugh alone and the world thinks you're an idiot.,happiness
"I am stronger because I had to be, I am smarter because of my mistakes, happier because of the sadness I've known and now wiser because I learned.",happiness
"Sometimes the greatest gifts in life are the ones you cannot see, but the one you can feel.",happiness
When you think you're not happy with youe LIFE always think that someone is happy simply because you EXiST.,happiness
