content,intensity
"Never hurt people who love you a lot, because they won’t hurt you back. But they’ll probably have no choice but to leave you forever…",sadness
"Don’t expect me to tell you what you did wrong. If you can’t figure it out yourself, then you are not ready to correct it,cos you did not know it was a mistake.",sadness
I preferred walking away than fighting for you not because you were not worth fighting for but because you never asked me to stay…,sadness
"Moving forward in life isn’t the hard part, it’s leaving behind someone, you thought was meant to move forward with you 🙁 🙁",sadness
"Never cry for anyone in your life, because those you cry for don’t deserve your tears and those who are deserving will never let you cry.",sadness
Seven billion people on this planet and I have 2 friends,sadness
I know you won’t come back but my heart will take life long time to accept this.,sadness
"When you are in a habit to talk someone daily, a day without talking to them feels like a year passed",sadness
Value the person when they are alive don’t cry for them when they are dead.,sadness
"A magic of songs and sound, When you are happy you just listen the song, but when you are sad you understand the song…",sadness
Behind every flirty boy there is a girl who left him alone with no reasons!!,sadness
"I don’t get tired of loving you. I just get tired of waiting, assuming, hearing lies, saying sorry and getting hurt.",sadness
"The hardest thing to do is watch the person you love, love someone else.",sadness
"I will never stop caring, but if you decide to push me away, I will go.",sadness
It hurts when you have someone in your heart but can’t have in your arms….,sadness
"The more you show your true feelings, the more people find ways to hurt you.",sadness
It’s amazing how someone break your heart but you still love them with all little broken pieces.,sadness
To the less fortunate… life is nothing but a tragedy,sadness
"204 countries, 805 Islands, 7 seas, 7+ Billion people and I’m single!!!",sadness
It’s sad when you realize you aren’t as important to someone as you thought you were..,sadness
"Some battles have to be fought alone,Some paths have to be crossed alone, so never be emotionally attached with anyone you never know when you have to walk alone.",sadness
Keep smiling… And one day life will become tired of upsetting you,sadness
Never become a daughter of a house where there’s no mother 🙁,sadness
One of the biggest mistakes I’ve ever made was expecting my happiness from others !!,sadness
"The person who once topped the inbox, now flashes in “people you may know.”.!!",sadness
"Everybody’s online, except the one I actually want too.",sadness
"I take words very seriously, and it breaks my heart when I find out that people don’t actually mean what they say.",sadness
That sad moment when you realize your childhood is over. 🙁,sadness
"Life seems to be running on a road without any shelter, without any sign board & without any destination. 🙁",sadness
Sometimes your voice is the medicine to all my diseases.,sadness
The worst feeling in the world is knowing that u r no longer that important as u were. 🙁,sadness
Its very eassy to say BUSSY when Someone needs you…But…. Its very hard to hear BUSSY when you need someone !!!,sadness
"You don’t realise how lonely you r until it’s the end of the day and you have a bunch of things to talk about,but no one to Listen !!!",sadness
Behind my smile is everything you’ll never understand.,sadness
"No Matter How Hard I Try, No Matter How Many Relationships I Get Into…. It Will Never Replace The One I Just Lost.",sadness
"I remember the way u used to look at me … and now, I notice the way u ignore me…",sadness
The most painful goodbyes are the ones that never said and never explained.,sadness
"Never expect things to happen. Its better to feel surprised,than to feel disappointed",sadness
I don’t understand why I still cry for you when you don’t even think about me,sadness
